题号,题干,A,B,C,D,E,答案,难度,题型,类别,备注
1,（	）是解决党内矛盾的有力武器，也是清除党内各种政治灰尘和政治微生物的有力武器。,批评和自我批评,巡视巡察,依法监督,开展集中性学习教育,,A,无,单选题,政治理论,
2,习近平总书记指出，要发扬（	）的精神，真正做到一张好的蓝图一干到底，切实干出成效来。,钉钉子,一不怕苦、二不怕死,全心全意为人民服务,求真务实,,A,无,单选题,政治理论,
3,增强党的自我净化能力，根本靠强化党的自我监督和群众监督，强化自上而下的      ）监督，改进自下而上的（ ）监督，发挥同级互相监督作用，加强对党员领导干部的日常管理监督。,组织、民主,领导、群众,组织、群众,领导、民主,,A,无,单选题,政治理论,
4,经过新时代全面从严治党的革命性锻造，反腐败斗争取得压倒性胜利并全面巩固，（	）的震慑充分彰显，（	）的笼子越扎越牢，（	）的自觉显著增强。,不敢腐  不能腐  不想腐,不能腐  不敢腐  不想腐,不想腐  不敢腐  不能腐,不敢腐  不想腐  不能腐,,A,无,单选题,政治理论,
5,一切为了群众，一切依靠群众，从群众中来，到群众中去，把党的正确主张变为群众的自觉行动，这是党的（	）。,思想路线,群众路线,组织路线,工作路线,,B,无,单选题,政治理论,
6,党员民主监督是党内监督的（       ）。,基本方式,根本手段,主要路径,重要方法,,A,无,单选题,政治理论,
7,党内所有的政治问题，归根结底就是对党（ ）。,是否信任,是否忠诚,是否拥护,是否坦诚,,B,无,单选题,政治理论,
8,（     ）对坚持党的领导、加强党的建设、做好党的组织工作具有十分重要的意义。,政治路线,思想路线,组织路线,群众路线,,C,无,单选题,政治理论,
9,（       ）是最大的腐败，必须消除党内政治隐患。,政治腐败,司法腐败,经济腐败,社会腐败,,A,无,单选题,政治理论,
10,（    ）是中国共产党的根本政治立场，是马克思主义政党区别于其他政党的显著标志。,人民立场,国家立场,平等立场,社会立场,,A,无,单选题,政治理论,
11,坚持把（      ）放在首位，做深做实干部政治素质考察，突出把好政治关、廉洁关。,德才兼备,工作能力,政治标准,斗争建设,,C,无,单选题,政治理论,
12,必须坚持党政民学、东西南北中，（	）是领导一切的。,政协,人大,党,政府,,C,无,单选题,政治理论,
13,坚决维护（	       ）、保证全党令行禁止，是党和国家前途命运所系，是全国各族人民根本利益所在。,党的路线,党纪党规,党员利益,党中央权威,,D,无,单选题,政治理论,
14,马克思主义政党的先进性，首先体现为（       ）上的先进性。,制度体系,思想理论,政党文化,组织建设,,B,无,单选题,政治理论,
15,（        ）是我们党的传家宝，是做好各项工作的基本功。,分析研判,科学决策,改革创新,调查研究,,D,无,单选题,政治理论,
16,把抓好（        ）作为最大的政绩。,廉洁,学习,党建,家风,,C,无,单选题,政治理论,
17,党的（	  ）是党的根本性建设，决定党的建设方向和效果。,思想建设,政治建设,组织建设,制度建设,,B,无,单选题,政治理论,
18,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，强化人才激励机制，坚持向（       ）授权、为人才松绑。,主管单位,领导机构,地方政府,用人主体,,D,无,单选题,政治理论,
19,深化文化体制机制改革的中心环节是（      	）。,深化文化领域行政审批备案制度改革,推动政府部门由办文化向管文化转变,激发创新创造活力,优化文化服务和文化产品供给机制,,C,无,单选题,政治理论,
20,在文化体制机制改革的过程中，要始终把（       ）放在首位。,经济效益,社会效益,产业属性,市场的决定性作用,,B,无,单选题,政治理论,
21,提高国家文化软实力要“形于中”而“发于外”。更好地“发于外”，就必须切实加强国际传播能力建设，把我们的（      ）转化为国际传播优势，更加有效发出中国声音。①制度优势   ②组织优势    ③人力优势,①②,②③,①③,①②③,,D,无,单选题,政治理论,
22,现在，我们      的问题已经得到基本解决，但       的问题还没有得到根本解决，中国在世界上的形象很大程度上仍是        。（  ）,“挨打”、“挨饿”，“挨骂”，“他塑”而非“自塑”,“挨打”、“挨骂”，“挨饿”，“他塑”而非“自塑”,“挨饿”、“挨骂”，“挨打”，“自塑”而非“他塑”,“挨打”、“挨饿”，“挨骂”，“自塑”而非“他塑”,,A,无,单选题,政治理论,
23,习近平总书记指出：“一部好的作品，应该是经得起      的作品，应该是把     放在首位，同时也应该是社会效益和经济效益相统一的作品。”（     ）,人民评价、市场检验，社会效益,人民评价、市场检验，经济效益,人民评价、专家评价、市场检验，社会效益,人民评价、专家评价、市场检验，经济效益,,C,无,单选题,政治理论,
24,社会主义文艺，从本质上讲，就是（      ）的文艺。,精英,人民,市场,作家,,B,无,单选题,政治理论,
25,人权是（	      ），评价一个国家是否有人权，不能以别的国家的标准来衡量。,①②,①③,②③,①②③,,D,无,单选题,政治理论,
26,党的二十届三中全会于（	     ）在北京召开。,2024 年 7 月 15 日至 18 日,2024 年 8 月 15 日至 18 日,2024 年 9 月 15 日至 18 日,2024 年 10 月 15 日至 18 日,,A,无,单选题,政治理论,
27,党的二十届三中全会审议通过了（	）。,《中共中央关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》,《中共中央关于深化党和国家机构改革的决定》,《中共中央关于进一步全面深化改革、推进中国式现代化的决定》,《中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议》,,C,无,单选题,政治理论,
28,党的二十届三中全会高度评价新时代以来全面深化改革的成功实践和伟大成就，认为当前和今后一个时期是（    	）。,全面建设社会主义现代化国家的关键时期,以中国式现代化全面推进强国建设、民族复兴伟业的关键时期,全面深化改革的决胜时期,高质量发展的攻坚时期,,B,无,单选题,政治理论,
29,党的二十届三中全会指出，进一步全面深化改革的总目标是（	）。,健全提高党的执政能力和领导水平制度，完善全面从严治党制度,坚持和完善人民当家作主制度体系，发展社会主义民主政治,继续完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系,,C,无,单选题,政治理论,
30,党的二十届三中全会提出的“七个聚焦”中不包括（	）。,聚焦构建高水平社会主义市场经济体制,聚焦建设体育强国,聚焦建设更高水平平安中国,聚焦发展全过程人民民主,,B,无,单选题,政治理论,
31,党的二十届三中全会提出，（	）是中国式现代化的重要保障。,高水平社会主义市场经济体制,全过程人民民主,社会主义文化强国,提高党的领导水平,,A,无,单选题,政治理论,
32,党的二十届三中全会提出，高质量发展是全面建设社会主义现代化国家的（      ）。,核心要求,根本条件,基础支撑,首要任务,,D,无,单选题,政治理论,
33,党的二十届三中全会强调，（      ）是中国式现代化的根本保证。,党的领导,依法治国,改革开放,科技创新,,A,无,单选题,政治理论,
34,党的二十届三中全会提出，必须以（    ）引领改革，立足新发展阶段，深化供给侧结构性改革，完善推动高质量发展激励约束机制，塑造发展新动能新优势。,新发展思想,新发展方位,新发展理念,新发展动能,,C,无,单选题,政治理论,
35,党的二十届三中全会对于生态环境保护提出总体要求是（	）。,优先发展经济，适度关注环保,以经济发展为中心，兼顾环境保护,加快形成绿色发展方式和生活方式，推进生态文明建设,生态环境问题可以留给后代解决,,C,无,单选题,政治理论,
36,我们党要始终做到不忘初心、牢记使命，把党和人民事业长长久久推进下去，必须增强政治意识，不断提高（	）。,政治判断力,政治决策力,政治领悟力,政治执行力,,ACD,无,多选题,政治理论,
37,落实新时代党的建设总要求，健全全面从严治党体系，全面推进党的（      ），使我们党始终坚守初心使命，始终成为中国特色社会主义事业的坚强领导核心。,自我净化,自我完善,自我革新,自我提高,,ABCD,无,多选题,政治理论,
38,实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，必须把党建设好、建设强，克服（       ）。,精神懈怠危险,能力不足危险,脱离群众危险,消极腐败危险,,ABCD,无,多选题,政治理论,
39,（      ）是马克思主义活的灵魂，是我们适应新形势、认识新事物、完成新任务的根本思想武器。,解放思想,实事求是,与时俱进,开拓进取,,ABC,无,多选题,政治理论,
40,自我监督是（	），是国家治理的（   	）。,一般性难题,无法解决的难题,世界性难题,哥德巴赫猜想,,CD,无,多选题,政治理论,
41,中国共产党是最高的政治领导力量，党的领导是（      ）。,全面的,系统的,整体的,结构的,,ABC,无,多选题,政治理论,
42,党的十八大以来，我们以刀刃向内的自我革命精神，直面党内存在的突出问题，以理论武装凝心聚魂，以整饬作风激浊扬清，以严明纪律强化约束，以从严治理匡正用人导向，以（        ）惩治腐败。,“打虎”,“捕狼”,“拍蝇”,“猎狐”,,ACD,无,多选题,政治理论,
43,调查研究是（	）。,谋事之基,做事之本,成事之道,干事之源,,AC,无,多选题,政治理论,
44,全党同志都要（	   ），清清白白做人、干干净净做事，做到克己奉公、以俭修身，永葆清正廉洁的政治本色。,明大德,守公德,严私德,懂小节,,ABC,无,多选题,政治理论,
45,优良作风是我们党历来坚持的（    	）以及艰苦奋斗、求真务实的作风。,理论联系实际,密切联系群众,批评和自我批评,实事求是,,ABC,无,多选题,政治理论,
46,加强政治能力训练和政治实践历练，把（	    ）作为根本政治担当，永葆共产党人政治本色。,对党忠诚,为党分忧,为党尽职,为民造福,,ABCD,无,多选题,政治理论,
47,要增强（      ），学懂弄通做实新时代中国特色社会主义思想，坚持好、运用好贯穿其中的立场观点方法，把这一思想贯彻落实到党和国家工作各方面全过程。,政治自觉,理论自觉,思想自觉,行动自觉,,ACD,无,多选题,政治理论,
48,全面从严治党，“严”就是（    ）。,真管真严,敢管敢严,长管长严,独断专行,,ABC,无,多选题,政治理论,
49,打铁必须自身硬。办好中国的事情，关键在党，关键在（ ）。,坚持党的领导,加强党的建设,坚持党要管党,全面从严治党,,CD,无,多选题,政治理论,
50,坚持（	  ），把新时代中国特色社会主义思想转化为坚定理想、锤炼党性和指导实践、推动工作的强大力量。,学思用贯通,知信行统一,严明政治纪律,做到担当实干,,AB,无,多选题,政治理论,
51,习近平总书记指出，党中央对加强和改进新形势下党的群团工作已经作出全面部署，要深入抓好落实，最重要的是要保持和增强（       ）。,原则性,政治性,先进性,群众性,,BCD,无,多选题,政治理论,
52,要提高廉洁自律意识，在（    ）中保持廉洁，在守纪律、讲规矩、重名节中做到自律。,依法用权,正确用权,干净用权,依规用权,,ABC,无,多选题,政治理论,
53,新时代以来，我们党不断深化对自我革命规律的认识，不断推进党的（    	），初步构建起全面从严治党体系。,理论创新,实践创新,制度创新     、,方法创新,,ABC,无,多选题,政治理论,
54,从党的历史看，建立中国共产党、成立中华人民共和国、实行改革开放、推进新时代中国特色社会主义事业，都是在斗争中诞生、在斗争中发展、在斗争中壮大的。所以，,敢于斗争,敢于直面问题,敢于胜利,敢于不懈奋斗,,AC,无,多选题,政治理论,
55,党的二十届三中全会提出，要健全因地制宜发展新质生产力体制机制，健全促进     和 	深度融合制度，完善发展服务业体制机制，健全现代化基础设施建设体制机制，健全提升产业链供应链韧性和安全水平制度。（	）,公有制经济,非公有制经济,实体经济,数字经济,,CD,无,多选题,政治理论,
56,党的二十届三中全会提出，必须统筹	   、	     	和	   ，全面提高城乡规划、建设、治理融合水平，促进城乡要素平等交换、双向流动，缩小城乡差别，促进城乡共同繁荣发展。（ ）,新型工业化,新型信息化,新型城镇化,乡村全面振兴,,ACD,无,多选题,政治理论,
57,党的二十届三中全会提出，必须坚定不移走中国特色社会主义政治发展道路，坚持和完善我国（     ），丰富各层级民主形式，把人民当家作主具体、现实体现到国家政治生活和社会生活各方面。,根本政治制度,基本政治制度,重要政治制度,主要政治制度,,ABC,无,多选题,政治理论,
58,党的二十届三中全会提出，必须坚持尽力而为、量力而行，完善基本公共服务制度体系，加强（     ）民生建设，解决好人民最关心最直接最现实的利益问题，不断满足人民对美好生活的向往。,普惠性,基础性,保障性,兜底性,,ABD,无,多选题,政治理论,
59,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，坚持系统观念，处理好经济和社会、政府和市场、效率和公平、活力和秩序、发展和安全等重大关系，增强改革（       ）。,主动性,系统性,整体性,协同性,,BCD,无,多选题,政治理论,
60,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，实施更加    、更加      、更加    的人才政策，完善人才自主培养机制，加快建设国家高水平人才高地和吸引集聚人才平台。（ ）,积极,科学,开放,有效,,ACD,无,多选题,政治理论,
61,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，深入推进依法行政，推进政府机构、职能、权限、程序、责任法定化，促进政务服务（      ），完善覆盖全国的一体化在线政务服务平台。,标准化,规范化,便利化,智慧化,,ABC,无,多选题,政治理论,
62,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，推动理想信念教育常态化制度化，完善培育和践行社会主义核心价值观制度机制。改进创新文明    、文明     、文明    工作机制。（     ）,建设,培育,实践,创建,,BCD,无,多选题,政治理论,
63,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，深入推进党风廉政建设和反腐败斗争，健全政治监督（      ）机制。,系统化,精准化,常态化,具体化,,BCD,无,多选题,政治理论,
64,党的二十届三中全会提出，教育、科技、人才是中国式现代化的基础性、战略性支撑。必须深入实施（	），统筹推进教育科技人才体制机制一体改革，健全新型举国体制，提升国家创新体系整体效能。,科教兴国战略,人才强国战略,创新驱动发展战略,科技创新战略,,ABC,无,多选题,政治理论,
65,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，分类推进高校改革，建立科技发展、国家战略需求牵引的学科设置调整机制和人才培养模式，超常布局急需学科专业，加强（      ）建设和拔尖人才培养，着力加强创新能力培养。,基础学科,新兴学科,优秀学科,交叉学科,,ABD,无,多选题,政治理论,
66,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，加快建设高质量教育体系，统筹推进（	）改革。,育人方式,办学模式,管理体制,保障机制,,ABCD,无,多选题,政治理论,
67,《中共中央关于进一步全面深化改革 推进中国式现代化的决定》提出，建立以（     ）为导向的人才评价体系。,创新能力,质量,实效,贡献,,ABCD,无,多选题,政治理论,
68,关于如何做好国际传播工作，以下选项正确的是（	）。,做好国际传播，最终要靠策划说话,不能自说自话、自娱自乐,采用贴近不同区域、不同国家、不同群体受众的精准传播方式,增强国际传播的亲和力和实效性,,BCD,无,多选题,政治理论,
69,我们要从巩固党的执政地位、提升党的执政能力、确保国家长治久安的战略高度，加强国家文化软实力建设，不断提高（  	），不断提高塑造国家形象、影响国际舆论场、掌握国际话语权的能力和水平。,国际传播影响力,中华文化感召力,中国形象亲和力,中国话语说服力,国际舆论引导力,ABCDE,无,多选题,政治理论,
70,有关国际舆论斗争，以下选项正确的是（	）。,国际舆论交锋斗争更加尖锐复杂,要主动设置议题,坚持有理有利有节,建立国际舆论统一战线,,ABCD,无,多选题,政治理论,
71,理想信念是共产党人精神上的“钙”。,,,,,,对,无,判断题,政治理论,
72,宪法就是党的根本大法，是全党必须遵循的总规矩。,,,,,,错,无,判断题,政治理论,
73,人心是最大的政治，共识是奋进的动力。,,,,,,对,无,判断题,政治理论,
74,基层是党的执政之基、力量之源。,,,,,,对,无,判断题,政治理论,
75,“让人民来监督政府”是党给出的跳出历史周期律的第二个答案。,,,,,,错,无,判断题,政治理论,
76,遵守党的纪律是无条件的，要说到做到，有纪必执，有违必查。,,,,,,对,无,判断题,政治理论,
77,全面建设社会主义现代化国家、全面推进中华民族伟大复兴，关键在党。,,,,,,对,无,判断题,政治理论,
78,坚持原则、敢于担当是好干部第一位的标准，是不是好干部首先看这一条。,,,,,,错,无,判断题,政治理论,
79,党中央提倡的坚决响应，党中央决定的坚决照办，党中央禁止的坚决杜绝。,,,,,,对,无,判断题,政治理论,
80,加强党的建设，首要任务是加强思想政治建设，关键是教育管理好党员、干部。,,,,,,对,无,判断题,政治理论,
81,中国最大的国情就是中国共产党的领导。,,,,,,对,无,判断题,政治理论,
82,没有调查就没有发言权，没有调查就没有决策权。,,,,,,对,无,判断题,政治理论,
83,用党的创新理论武装全党是党的政治建设的根本任务。,,,,,,错,无,判断题,政治理论,
84,我们党的最大政治优势是密切联系群众。,,,,,,对,无,判断题,政治理论,
85,腐败是危害党的生命力和战斗力的最大毒瘤，反腐败是最彻底的自我革命。,,,,,,对,无,判断题,政治理论,
86,我们党始终坚守为中国人民谋幸福、为中华民族谋复兴的初心和使命。,,,,,,对,无,判断题,政治理论,
87,坚持抓住“大多数”以上率下，压紧压实全面从严治党政治责任。,,,,,,错,无,判断题,政治理论,
88,守初心，就是要牢记全心全意为人民服务的根本宗旨，牢记人民对美好生活的向往就是我们的奋斗目标。,,,,,,对,无,判断题,政治理论,
89,新时代中国特色社会主义思想实现了马克思主义中国化时代化新的飞跃。,,,,,,对,无,判断题,政治理论,
90,“四个意识”是党的最高政治原则和根本政治规矩。,,,,,,错,无,判断题,政治理论,
91,党的二十届三中全会强调，中国式现代化是在改革开放中不断推进的，也必将在改革开放中开辟广阔前景。,,,,,,对,无,判断题,政治理论,
92,到 2035 年，全面建成高水平社会主义市场经济体制，中国特色社会主义制度更加完善，基本实现国家治理体系和治理能力现代化，基本实现社会主义现代化。,,,,,,对,无,判断题,政治理论,
93,进一步全面深化改革要总结和运用改革开放以来特别是新时代全面深化改革的宝贵经验。,,,,,,对,无,判断题,政治理论,
94,党的二十届三中全会提出要推动国有资本和非公有制企业做强做优做大。,,,,,,错,无,判断题,政治理论,
95,党的二十届三中全会提出要制定产权保护法，加强产权执法司法保护，防止和纠正利用行政、刑事手段干预经济纠纷。,,,,,,对,无,判断题,政治理论,
96,党的二十届三中全会提出要健全监察机关、公安机关、检察机关、审判机关、司法行政机关各司其职，监察权、侦查权、检察权、审判权、执行权相互配合、相互制约的体制机制。,,,,,,对,无,判断题,政治理论,
97,党的二十届三中全会指出我国要主动对接国际高标准经贸规则，要在产权保护、产业补贴、环境标准、劳动保护、政府采购、电子商务、金融领域等实现规则、规制、管理、标准相通相容。,,,,,,对,无,判断题,政治理论,
98,党的二十届三中全会要求建立一体推进涉外立法、执法、司法、守法和法律服务、法治人才培养的工作机制。,,,,,,对,无,判断题,政治理论,
99,党的二十届三中全会提出要扩大财政科研项目经费包干制范围，赋予科学家更大技术路线决定权、更大经费支配权、更大资源调度权。,,,,,,对,无,判断题,政治理论,
100,完善市场经济基础制度，要深化注册资本认缴登记制度改革，实行依法按期认缴。,,,,,,对,无,判断题,政治理论,
101,中国共产党第一次全国代表大会先后在（	）召开。,上海、嘉兴,上海、天津,北京、上海,北京、广州,,A,无,单选题,政治理论,
102,1930 年10 月，江西省苏维埃政府成立，主席（      ）。,毛泽东,任弼时,张闻天,曾山,,D,无,单选题,政治理论,
103,2024 年是江西地方党组织创建（     	）周年。,100,103,75,102,,A,无,单选题,政治理论,
104,（	    ）中国人民解放军第一次实行军衔制。,1954 年,1955 年,1956 年,1957 年,,B,无,单选题,政治理论,
105,1958 年 8 月 19 日，江西省第一个农村人民公社（	）在修水成立。,太阳升,红太阳,东方红,高级社,,A,无,单选题,政治理论,
106,新中国成立后，第一任江西省委书记（ ）。,曾山,陈正人,杨尚奎,刘俊秀,,B,无,单选题,政治理论,
107,新中国第一架自己制造的飞机——初教-5，它在（	）诞生。,北京,南京,南昌,广州,,C,无,单选题,政治理论,
108,（     ）十分关心江西共产主义劳动大学，特地给井冈山共产主义劳动大学分校校刊题写了“井冈熔炉”的刊头。,毛泽东,周恩来,邓小平,朱德,,D,无,单选题,政治理论,
109,2003 年 8 月底 9 月初，胡锦涛在江西考察时明确使用（	）概念。,可持续发展,科学发展观,全面的发展观,五个统筹,,B,无,单选题,政治理论,
110,十二届全国人大常委会第十一次会议通过《关于设立国家宪法日的决定》，将（ ）设立为国家宪法日。,11 月 4 日,12 月 4 日,11 月 5 日,12 月 5 日,,B,无,单选题,政治理论,
111,第一次明确提出彻底的反帝反封建民主革命纲领的会议是（         ）。,中共一大,中共二大,中共三大,中共四大,,B,无,单选题,政治理论,
112,1927 年 9 月，毛泽东进行了著名的（	），提出 “支部建在连上”的重要思想。,井冈山会师,工农武装割据,三湾改编,中共六大,,C,无,单选题,政治理论,
113,党的七届二中全会于 1949 年 3 月召开，毛泽东在会上向全党同志提出了著名的“两个务必”要求，这次会议是在（        ）召开的。,阜平,延安,北京,西柏坡,,D,无,单选题,政治理论,
114,1944 年 5 月 21 日至 1945 年 4 月 20 日，中共中央在延安举行扩大的六届七中全会，通过了（	    ）。,《关于若干历史问题的决议》,《论联合政府》,《论持久战》,《论人民民主专政》,,A,无,单选题,政治理论,
115,我国社会主义制度的基本确立是（	）。,1949 年,1956 年,1978 年,2002 年,,B,无,单选题,政治理论,
116,党的十一届六中全会通过的（	），标志着党胜利地完成了指导思想上的拨乱反正。,,《关于建国以来党的若干历史问题的决议》,《关于党内政治生活的若干准则》,《中共中央关于整党的决定》,,B,无,单选题,政治理论,
117,十届全国人大常委会第十九次会议决定废止《中华人民共和国农业税条例》，这次会议决定《中华人民共和国农业税条例》自（ ）起废止。,2005 年 1 月 1 日,2006 年 12 月 31 日,2006 年 1 月 1 日,2005 年 12 月 31 日,,C,无,单选题,政治理论,
118,党的（	）审议通过了《中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议》，对今后一个时期国民经济和社会发展作出战略部署。,十九大,十九届三中全会,十九届五中全会,十九届六中全会,,C,无,单选题,政治理论,
119,党的十一届三中全会是划时代的，开启了改革开放和社会主义现代化建设新时期。党的（ ）也是划时代的，开创了我国改革开放新局面。,十八届三中全会,十八届六中全会,十九届三中全会,十九届五中全会,,A,无,单选题,政治理论,
120,武装反抗国民党反动派的第一枪是（	）。,秋收起义,广州起义,南昌起义,百色起义,,C,无,单选题,政治理论,
121,1935 年 12 月，中共中央在（  	）上确定了抗日民族统一战线的策略方针。,八七会议,洛川会议,瓦窑堡会议,十二月会议,,C,无,单选题,政治理论,
122,土地革命时期，以毛泽东为代表的中国共产党人创建了井冈山革命根据地，点燃了中国革命的星星之火，开辟了农村包围城市的中国革命道路，培育了（    ）。,井冈山精神,苏区精神,长征精神,红船精神,,A,无,单选题,政治理论,
123,周恩来在（       ）后满含悲愤亲笔写下“为江南死国难者志哀”和“千古奇冤，江南一叶，同室操戈，相煎何急？！”。,七七事变,八一三事变,皖南事变,西安事变,,C,无,单选题,政治理论,
124,为了实现祖国统一，邓小平创造性地提出“一国两制”的伟大构想。“一国两制”最早是针对（   ）问题提出的。,香港,澳门,台湾,港澳,,C,无,单选题,政治理论,
125,1978 年 5 月 11 日，（     ）公开发表《实践是检验真理的唯一标准》。,《经济日报》,《光明日报》,《人民日报》,《解放日报》,,B,无,单选题,政治理论,
126,（      ）确定了“三步走”发展战略。,党的十二大,党的十三大,党的十四大,党的十五大,,B,无,单选题,政治理论,
127,1995 年 5 月，党中央、国务院进一步作出《关于加速科学技术进步的决定》，正式提出（	）。,可持续发展战略,人才强国战略,推进城镇化战略,科教兴国战略,,D,无,单选题,政治理论,
128,2014 年 11 月，习近平总书记在中央外事工作会议上明确提出了推进（ ）的战略思想。,和平发展大国外交,中国特色大国外交,走出去大国外交,新时代大国外交,,B,无,单选题,政治理论,
129,（ ）在中国共产党第十二次全国代表大会开幕词中第一次明确提出了建设有中国特色社会主义这一科学命题。,江泽民,叶剑英,胡耀邦,邓小平,,D,无,单选题,政治理论,
130,1981 年9 月，我国首次用一枚运载火箭发射（	）颗卫星进行空间物理探测获得成功。,1,2,3,4,,C,无,单选题,政治理论,
131,被誉为“江西第一路”的高速公路是（	）。,昌九高速,昌樟高速,梨温高速,德上高速,,A,无,单选题,政治理论,
132,中国共产党第二十次全国代表大会，是在全党全国各族人民迈上（ ）、向第二个百年奋斗目标进军的关键时刻召开的一次十分重要的大会。,全面建设社会主义现代化国家新征程,建设社会主义现代化国家新征程,全面建成小康社会,建设中国特色社会主义现代化国家新征程,,A,无,单选题,政治理论,
133,我国第一颗氢弹爆炸成功的时间是（	）。,1967 年 10 月,1967 年 6 月,1963 年 10 月,1964 年 10 月,,B,无,单选题,政治理论,
