题号,题干,A,B,C,D,E,答案,难度,题型,类别,备注
269,十八大召开十年来，我们经历了对党和人民事业具有重大现实意义和深远历史意义的三件大事：（	）,迎来中国共产党成立一百周年,中国特色社会主义进入新时代,完成脱贫攻坚、全面建成小康社会的历史任务，实现第一个百年奋斗目标,制定第三个历史决议,,ABC,无,多选题,政治理论,
270,"1945 年 8 月,中共中央在《对目前时局的宣言》中明确提出的口号是（  ）。",独立,和平,民主,团结,,BCD,无,多选题,政治理论,
271,“一五”期间，沟通西藏和内地联系公路建成通车的线路是（   ）。,京藏公路,康藏公路,新藏公路,青藏公路,,BCD,无,多选题,政治理论,
272,1935 年12月9日，北平学生举行声势浩大抗日示威游行时喊的口号是（  ）。,反对华北自治运动,打倒日本帝国主义,内惩国贼，外争国权,停止内战，一致对外,,ABD,无,多选题,政治理论,
273,1935 年 1 月召开的遵义会议挽救了党、挽救了红军，挽救了中国革命，是我们党从幼年走向成熟的标志。在这次会议后，三人军事指挥小组的人员有（ ）。,朱德,周恩来,王稼祥,毛泽东,,BCD,无,多选题,政治理论,
274,1937 年 8 月，红军主力改编为国民革命军第八路军，有（	）组成。,115 师,120 师,125 师,129 师,,ABD,无,多选题,政治理论,
275,1945 年，中国共产党飞赴重庆与国民党当局进行谈判的主要代表有（	）。,毛泽东,周恩来,王若飞,刘少奇,,ABC,无,多选题,政治理论,
276,1945 年至 1947 年，国民党在其统治区为镇压人民反内战运动制造的血案有（	）。,五二〇惨案,五卅惨案,沙田惨案,一二一惨案,,AD,无,多选题,政治理论,
277,1979 年 4 月 5 日至 28 日，党中央召开工作会议，正式确立了对国民经济实行“（	）、提高”的方针，通称为新“八字方针”。,调整,改革,整顿,充实,,ABC,无,多选题,政治理论,
278,被党中央、国务院、中央军委追授为“两弹一星功勋奖章”的有（ ）。,邓稼先,赵九章,钱三强,吴文俊,,ABC,无,多选题,政治理论,
279,从 1949 年 10 月新中国成立到 1976 年 10 月“文化大革命”结束，这是中国共产党领导人民进行（ ）的时期。,新民主主义革命,开创中国特色社会主义,社会主义改造,开始全面建设社会主义,,CD,无,多选题,政治理论,
280,从 1978 年开始，安徽、四川的基层干部和农民群众，在省委支持下，开始探索试行农业生产责任制的多种形式，主要有（ ）。,兴修水利,包产到组,包产到户,包干到户,,BCD,无,多选题,政治理论,
281,从中共十三大到中共十四大，是邓小平理论形成科学体系的时期，这一时期提出了（   	）。,,社会主义本质理论,“三个有利于”标准,科学技术是第一生产力,,ABCD,无,多选题,政治理论,
282,邓小平提出的我们必须在思想政治上坚持的四项基本原则是坚持中国共产党领导、（ 	）。,坚持改革开放,坚持社会主义道路,坚持人民民主专政,坚持马列主义、毛泽东思想,,BCD,无,多选题,政治理论,
283,第一次国共合作时期孙中山提出的“三大政策”是（	）。,平均地权,联俄,联共,扶助农工,,BCD,无,多选题,政治理论,
284,发动西安事变的将领有（ ）。,张学良,蔡廷锴,杨虎城,冯玉祥,,AC,无,多选题,政治理论,
285,解放战争时期，人民解放军进行战略决战的三大战役是（ ）,上党战役,辽沈战役,淮海战役,平津战役,,BCD,无,多选题,政治理论,
286,抗日民主政府在工作人员分配上实行“三三制”原则，即（ ）。,共产党员占三分之一,非党员左派进步分子占三分之一,农民占三分之一,中间派占三分之一,,ABD,无,多选题,政治理论,
287,抗日民族统一战线策略总方针中的进步势力主要是指（	）。,工人阶级,农民阶级,城市小资产阶级,富农阶级,,ABC,无,多选题,政治理论,
288,抗日民族统一战线策略总方针中的中间势力主要是指（	）。,民族资产阶级,民主党派,城市小资产阶级,一部分地方实力派,,ABD,无,多选题,政治理论,
289,抗日民族统一战线策略总方针中同顽固派作斗争时，应坚持的原则是（  ）。,自力更生,有理,有利,有节,,BCD,无,多选题,政治理论,
290,毛泽东在《关于正确处理人民内部矛盾的问题》一文中提出的解决人民内部矛盾的方法是（	）。,《中国的红色政权为什么能够存在》,《星星之火，可以燎原》,《中国社会各阶级的分析》,《井冈山的斗争》,,AD,无,多选题,政治理论,
292,十三大制定了社会主义现代化建设“三步走”的战略部署，其内容是（  ）。,实现国民生产总值比 1980 年翻一番，解决人民的温饱问题,到 20 世纪末，使国民生产总值再增长一倍，人民生活达到小康水平,到 21 世纪中叶，人均国民生产总值达到中等发达国家水平，人民生活比较富裕，基本实现现代化,用一百年左右的时间，走完发达国家用几百年走过的路程,,ABC,无,多选题,政治理论,
293,我国在社会主义探索时期提出的“三面红旗”是指（	）。,总路线,“一大二公”,“大跃进”,人民公社,,ACD,无,多选题,政治理论,
294,五四运动形成了（  	）的五四精神，拉开了中国新民主主义革命的序幕。,民主,爱国,进步,科学,,ABCD,无,多选题,政治理论,
295,习近平总书记在纪念辛亥革命 110 周年大会上的讲话中说：孙中山先生是（	）。,伟大的民族英雄,伟大的爱国主义者,中国民主革命的伟大先驱,中国新民主主义革命伟大领导者,,ABC,无,多选题,政治理论,
296,下列属于苏区精神内涵的有（	）。,坚定信念、求真务实,一心为民、清正廉洁,艰苦奋斗、争创一流、无私奉献,依靠群众、敢于胜利,,ABC,无,多选题,政治理论,
297,下列有关会议，在上海召开的有（ ）。,中共一大,中共二大,中共三大,中共四大,,ABD,无,多选题,政治理论,
298,下列有关七届二中全会表述正确的有（ ）。,反对帝国主义、封建主义、官僚资本主义,争取民族独立、人民解放,为实现中华民族伟大复兴创造根本社会条件,建成社会主义国家,,ABC,无,多选题,政治理论,
300,新中国开展的“三反”运动是指（	）。,反贪污,反浪费,反行贿,反官僚主义,,ABD,无,多选题,政治理论,
301,在波澜壮阔的抗美援朝战争中，英雄的中国人民志愿军始终发扬（ ），为了人类和平与正义事业而奋斗的国际主义精神，锻造了伟大抗美援朝精神。,祖国和人民利益高于一切、为了祖国和民族的尊严而奋不顾身的爱国主义精神,英勇顽强、舍生忘死的革命英雄主义精神,不畏艰难困苦、始终保持高昂士气的革命乐观主义精神,为完成祖国和人民赋予的使命、慷慨奉献自己一切的革命忠诚精神,,ABCD,无,多选题,政治理论,
302,在下列为抗战牺牲的民族英雄中，是共产党员的有（	）。,彭雪枫,赵尚志,左权,杨靖宇,,ABCD,无,多选题,政治理论,
303,在以下选项中，属于在新民主主义革命时期形成的革命精神的有（	）。,伟大建党精神,井冈山精神,长征精神,延安精神,,ABCD,无,多选题,政治理论,
304,在中共七届二中全会上，毛泽东告诫全党，夺取全国胜利，这只是万里长征走完了第一步，中国的革命是伟大的，但革命以后的路更长，工作更伟大，更艰苦。据此，他提出了“两个务必”的思想，即（ ）。,务必由农业国转变为工业国,务必使同志们继续地保持谦虚、谨慎、不骄、不躁的作风,务必由新民主主义社会转变为社会主义社会,务必使同志们继续地保持艰苦奋斗的作风,,BD,无,多选题,政治理论,
305,中共二大制定的民主革命纲领主要内容有（	）。,实现社会主义,打倒军阀,推翻国际帝国主义的压迫,统一中国为真正民主共和国,,BCD,无,多选题,政治理论,
306,中共七大的重大意义在于（	）,确立毛泽东思想为党的指导思想,做出了把党和国家工作重心转移到城市的决定,实现了全党空前的团结和统一,为争取抗日战争和新民主主义革命的胜利奠定了基础,,ACD,无,多选题,政治理论,
307,中共一大选举产生的党的领导机构中央局成员有（ ）。,陈独秀,张国焘,董必武,李达,,ABD,无,多选题,政治理论,
308,中国共产党成立的历史条件有（	）。,工人阶级队伍的壮大和工人运动的发展,马克思主义在中国的传播,十月革命的胜利和共产国际的帮助,具有初步共产主义觉悟的知识分子成长起来，推动了马克思主义与工人运动结合,,ABCD,无,多选题,政治理论,
309,中国新民主主义革命胜利的原因有（	）。,广大人民和各界人士的广泛参加和大力支持,国际无产阶级和人民群众的支持,中国共产党的领导,帝国主义、封建主义、官僚资本主义的退让,,ABC,无,多选题,政治理论,
310,下列关于《中国土地法大纲》说法正确的是（	）。,是一个彻底反封建的土地革命纲领,规定废除封建性及半封建性剥削的土地制度,实行耕者有其田的土地制度,是新中国成立后最重要的土地政策文件,,ABC,无,多选题,政治理论,
311,下列关于中共二大表述正确的有（	）。,通过了中国共产党第一部党章，即《中国共产党章程》,第一次明确地提出反帝反封建的民主革命纲领,确认中国共产党是共产国际的一个支部,体现了民主集中制原则,,ABCD,无,多选题,政治理论,
312,中国工农红军长征胜利的重要意义有（	）。,宣告了国民党反动派消灭中国共产党和红军的图谋彻底失败,宣告了中国共产党和红军肩负着民族希望胜利实现了北上抗日的战略转移,实现了中国共产党和中国革命事业从挫折走向胜利的伟大转折,开启了中国共产党为实现民族独立、人民解放而斗争的新的伟大进军,,ABCD,无,多选题,政治理论,
313,在党的领导下，以（	）为起点，以（	）为终点，掀起了中国工人运动第一次高潮。,1922 年 1 月香港海员罢工,1922 年 9 月安源路矿工人大罢工,1923 年 2 月京汉铁路工人罢工,1922 年 10 月开滦煤矿大罢工,,AC,无,多选题,政治理论,
314,抗美援朝战争期间，党中央统揽全局，实施有力的战争动员和正确的战争指导，采取（ ）的方针，开展了波澜壮阔的抗美援朝运动。,边打,边稳,边谈,边建,,ABD,无,多选题,政治理论,
315,1952 年1 月，中央决定在私营工商界开展一场“五反”运动，下列属于“五反”内容的有：（	）,反对行贿,反对偷税漏税,反对盗骗国家财产,反对贪污,,ABC,无,多选题,政治理论,
316,毛泽东曾形象地指出：“长征是历史记录上的第一次，长征是（	），长征是（	），长征是（	）。”,宣言书,宣传队,播种机,运输队,,ABC,无,多选题,政治理论,
317,毛泽东在《纪念白求恩》一文中指出，要做“一个高尚的人，一个纯粹的人，（	）”。,一个有道德的人,一个脱离了低级趣味的人,一个有益于人民的人,一个甘于奉献的人,,ABC,无,多选题,政治理论,
318,大生产运动是克服抗日根据地困难的重要一环，总方针是“（ ）”。,发展经济,保障供给,自力更生,艰苦奋斗,,AB,无,多选题,政治理论,
319,1945 年 6 月 19 日，党的七届一中全会选举毛泽东、朱德、（ ）为中央书记处书记。,刘少奇,彭德怀,周恩来,任弼时,,ACD,无,多选题,政治理论,
320,“焦裕禄精神”是一种向焦裕禄同志学习的精神，被习近平总书记概括为“（ ）、无私奉献”。,亲民爱民,艰苦奋斗,科学求实,迎难而上,,ABCD,无,多选题,政治理论,
321,延安精神的内容（  	）。,坚定正确的政治方向,解放思想实事求是的思想路线,全心全意为人们服务的根本宗旨,自力更生、艰苦奋斗的创业精神,,ABCD,无,多选题,政治理论,
322,大庆精神的内容（     ）。,爱国,创业,求实,奉献,,ABCD,无,多选题,政治理论,
323,两弹一星精神的内容（   ）。,解放思想、相信科学,热爱祖国、无私奉献,自力更生、艰苦奋斗,大力协同、勇于登攀,,BCD,无,多选题,政治理论,
324,科学发展观的基本要求是（	）。,全面,协调,以人为本,可持续,,ABD,无,多选题,政治理论,
325,伟大建党精神的内容：（   ）。,坚持真理、坚守理想,践行初心、担当使命,不怕牺牲、英勇斗争,对党忠诚、不负人民,,ABCD,无,多选题,政治理论,
326,特区精神的内容（   ）。,敢闯敢试,敢为人先,埋头苦干,自力更生,,ABC,无,多选题,政治理论,
327,党的十二大把“长期共存、互相监督”八字方针发展为“长期共存、互相监督、（	）、（    ）”十六字方针。,肝胆相照,相辅相成,荣辱与共,团结协作,,AC,无,多选题,政治理论,
328,1980 年，五届全国人大常委会十五次会议同意在（	）设置经济特区。,深圳,珠海,厦门,汕头,,ABCD,无,多选题,政治理论,
329,载人航天精神的内容：（ ）。,特别能吃苦,特别能战斗,特别能攻关,特别能奉献,,ABCD,无,多选题,政治理论,
330,和	成为党在社会主义新时期领导文艺工作的基本遵循。（	）,“双百”方针,“二为”方向,“三不”主义,百家争鸣,,AB,无,多选题,政治理论,
331,1923 年 6 月 12 日-20 日，中国共产党第三次全国代表大会在广州举行。大会规定共产党员加入国民党时，党必须在	、	、	保持自己的独立性。（	）,政治上,思想上,组织上,纪律上,,ABC,无,多选题,政治理论,
332,以下属于土地革命战争时期中国共产党创办的刊物的有：（	）。,《布尔塞维克》,《红旗》,《斗争》,《解放》,,ABCD,无,多选题,政治理论,
333,五四运动的历史特点和意义体现在（	）。,是一次彻底反帝反封建的运动,是一场真正的群众性运动,促进了马克思主义在中国的广泛传播,是中国新民主主义革命的开端,,ABCD,无,多选题,政治理论,
334,"红军长征开始于（ ）,结束于（   ）。",1933 年 10 月,1934 年 10 月,1935 年 10 月,1936 年 10 月,,BD,无,多选题,政治理论,
335,1927 年 9 月 29 日，秋收起义各部队到达江西永新县三湾村，在毛泽东领导下进行了改编，史称三湾改编。三湾改编的措施（   ）。,确立了毛泽东在党中央和红军的领导地位,开始改变旧军队的习气和不良作风,从组织上确立了党对军队的领导,是建设无产阶级领导的新型人民军队的重要开端,,BCD,无,多选题,政治理论,
336,中国共产党在中国革命中的三个基本问题包括：（    ）,统一战线问题,党的建设问题,武装斗争问题,联系群众问题,,ABC,无,多选题,政治理论,
337,标志着中国共产党开始从中国实际出发，独立自主地探索适合中国国情的社会主义建设道路的文献包括：（       	）,《论十大关系》,党的八大文献,《关于正确处理人民内部矛盾的问题》,《论联合政府》,,ABC,无,多选题,政治理论,
338,确立中国共产党对人民军队绝对领导的重大历史事件有：（ ）,古田会议,三湾改编,遵义会议,八七会议,,AB,无,多选题,政治理论,
339,关于中国共产党发出的《为抗日救国告全国同胞书》的表述正确的有：（	）,提出建立抗日敌后根据地,明确提出：“抗日则生，不抗日则死，抗日救国，已成为每个同胞的神圣天职!”,是中国共产党驻共产国际代表团起草的,是以中华苏维埃共和国临时中央政府和中共中央名义发表的,,BCD,无,多选题,政治理论,
340,土地革命战争时期，集中体现我党把马列主义和中国实际相结合的成果有：（	）,《反对本本主义》,《中国社会各阶级的分析》,《星星之火，可以燎原》,《改造我们的学习》,,AC,无,多选题,政治理论,
341,下列各项中，属于红军在遵义会议后的军事行动的是（	  ）。,四渡赤水,强渡乌江,巧渡金沙江,飞夺泸定桥,,ACD,无,多选题,政治理论,
342,20 世纪初期，哪两大中、外政治事件促进了中国共产党的诞生？,1911 年辛亥革命,1919 年共产国际成立,1919 年五四运动,1917 年俄国十月社会主义革命的胜利,,CD,无,多选题,政治理论,
343,辛亥革命最终失败的原因是（	）。,没有建立革命政权,没有坚强有力的革命政党,没有一个彻底的革命纲领,没有充分发动和依靠人民大众,,BCD,无,多选题,政治理论,
344,新文化运动的代表人物有（	）。,李大钊,陈独秀,胡适,鲁迅,,ABCD,无,多选题,政治理论,
345,五四运动取得初步胜利的标志是（	）。,《新青年》杂志创办,拒绝巴黎和会的和约签字,释放被捕学生,撤掉曹汝霖、章宗祥、陆宗舆三个卖国贼的职务,,BCD,无,多选题,政治理论,
346,关于五四运动，下列说法正确的是（	）。,辛亥革命后资产阶级革命派的又一次奋斗,近代中国第一次彻底的反帝反封建的革命运动,标志着新民主主义革命的开端,为中国共产党的成立做了思想上和干部上的准备,,BCD,无,多选题,政治理论,
347,中国共产党的成立具有划时代的意义，是中国历史上的大事件，从此，中国革命的面目就焕然一新。其重要意义主要体现在：（	）。,使中国革命有了坚强的领导核心，中国人民有了可依赖的组织者和领导者，保证了中国革命的胜利发展,使中国革命有了科学的指导思想——马克思列宁主义,使中国革命有了新的革命方向，在农民阶级和资产阶级革命失败后，中国共产党的出现让在绝望中的中国人民看到了希望——社会主义,使资产阶级成为革命的领导力量,,ABC,无,多选题,政治理论,
348,我国政府恢复对香港、澳门行使主权后，对香港、澳门实行“一国两制”、港人治港、澳人治澳、高度自治的方针。香港、澳门特别行政区在政治和法律方面享有的自治权包括（	  ）。,独立的外交权,行政管理权,立法权,独立的司法权和终审权,,BCD,无,多选题,政治理论,
349,中国新民主主义革命的三大经济纲领是（     ）。,没收封建阶级的土地归农民所有,保护民族工商实业,没收四大家族为首的垄断资本归新民主主义国家所有,没收民族资产阶级的资本归新民主主义国家所有,,ABC,无,多选题,政治理论,
350,"毛泽东在党的七届二中全会上提出,务必使同志们保持（	）。",密切联系群众的作风,实事求是的作风,谦虚、谨慎、不骄、不躁的作风,艰苦奋斗的作风,,CD,无,多选题,政治理论,
351,1954 年提出的四个现代化是（	）。,工业现代化,农业现代化,科学技术现代化,国防现代化,,ABCD,无,多选题,政治理论,
352,中国共产党在全民族抗战中发挥的中流砥柱作用主要体现在（	）。,积极倡导、促成并维护抗日民族统一战线,最大限度地动员全国军民共同抗战,科学阐明了抗日战争的规律和进程,制定了正确的战略和策略,,ABCD,无,多选题,政治理论,
353,1949 年 9 月，中国人民政治协商会议通过的重要议案有（	）。,"通过中华人民共和国的国都定于北平,自即日起改名北平为北京",通过中华人民共和国的国旗为五星红旗,通过中华人民共和国的纪年采用公元,"通过在中华人民共和国的国歌未正式制定前,以义勇军进行曲为国歌",,ABCD,无,多选题,政治理论,
354,中国共产党的实事求是的思想路线的基本内容包括（	）。,为人民服务,一切从实际出发,理论联系实际,在实践中检验和发展真理,,BCD,无,多选题,政治理论,
355,新中国成立初期三次大规模的政治运动指的是（    	）。,民族平等,社会制度自由,民族团结,共同发展繁荣,,ACD,无,多选题,政治理论,
358,中国共产党第一次代表大会的长沙代表是（ ）。,毛泽东,何叔衡,王尽美,邓恩铭,,AB,无,多选题,政治理论,
359,毛泽东指出，新民主主义革命的对象是（	）。,民族资产阶级,帝国主义,官僚资本主义,封建主义,,BCD,无,多选题,政治理论,
360,下列属于中共党史军史上的三大起义的是（	）。,南昌起义,秋收起义,平江起义,广州起义,,ABD,无,多选题,政治理论,
361,1928 年在莫斯科召开了中共第六次全国代表大会，以下属于本次大会缺点的是（   ）。,把民族资产阶级当作最危险的敌人,把党的工作重心放在城市,对中国革命的长期性估计不足,认为中国是半殖民地半封建社会,,ABC,无,多选题,政治理论,
362,中国工农红军游击战争的作战指导原则是（ ）。,敌进我退,敌驻我扰,敌疲我打,敌退我追,,ABCD,无,多选题,政治理论,
363,遵义会议的历史意义是（ 	）。,遵义会议在中国革命处于生死攸关的危急关头挽救了中国革命,遵义会议是中国共产党从幼年走向成熟的标志,遵义会议确立了毛泽东在中国共产党的领导地位,结束了王明“左”倾错误在中共中央的统治,,ABCD,无,多选题,政治理论,
364,长征结束时会师的三大主力红军是（    ）。,红一方面军,红二方面军,红三方面军,红四方面军,,ABD,无,多选题,政治理论,
365,抗日战争时期党领导的武装力量有（	）。,八路军,新四军,山西青年抗敌决死队,东江纵队,,ABCD,无,多选题,政治理论,
366,中国革命战争的基本形式有（	）。,游击战,运动战,阵地战,地雷战,,ABC,无,多选题,政治理论,
367,脱贫攻坚精神的内容：（      ）。,上下同心、尽锐出战,精准务实、开拓创新,攻坚克难、不负人民,践行初心、担当使命,,ABC,无,多选题,政治理论,
368,秋收起义是中国共产党独立领导武装斗争、创建人民军队和武装夺取政权的开端。,,,,,,错,无,判断题,政治理论,
369,1937年12月下旬，新四军军部在南昌组建，叶挺任军长，项英任副军长，张云逸任参谋长，袁国平任政治部主任。,,,,,,错,无,判断题,政治理论,
370,1950 年 5 月 1 日颁行的《中华人民共和国婚姻法》是新中国成立后制定的第一部基本法律。,,,,,,对,无,判断题,政治理论,
371,1950 年 10 月 18 日晚，毛泽东向中国人民解放军下达入朝作战命令。,,,,,,错,无,判断题,政治理论,正确答案应为: 1950 年 10 月 18 日晚，毛泽东向中国人民志愿军下达入朝作战命令
372,1974 年 10 月，经国务院批准，国务院环境保护领导小组及办公室正式成立，新中国历史上第一个环境保护机构诞生。,,,,,,对,无,判断题,政治理论,
373,1990 年 11 月 14 日，中国人民银行批准成立上海证券交易所，12 月 19 日正式开业，这是改革开放以来在大陆开业第一家证券交易所。,,,,,,对,无,判断题,政治理论,
374,2008 年 12 月 31 日，胡锦涛在纪念《告台湾同胞书》发表 10 周年座谈会上发表讲话，提出推动两岸关系和平发展的六点主张。,,,,,,错,无,判断题,政治理论,正确答案应为: 胡锦涛在纪念《告台湾同胞书》发表30周年座谈会上发表讲话
375,党的领导是党和国家的根本所在、命脉所在，是全国各族人民的利益所系、命运所系。,,,,,,对,无,判断题,政治理论,
376,北斗三号全球卫星导航系统全面建成并开通服务，标志着我国成为世界上第三个独立拥有全球卫星导航系统的国家。,,,,,,对,无,判断题,政治理论,
377,八一南昌起义第一次打出了工农革命军的旗帜。,,,,,,错,无,判断题,政治理论,正确答案应为: 秋收起义第一次打出了工农革命军的旗帜
378,中国无产阶级作为独立的政治力量第一次登上历史舞台是在五四运动中。,,,,,,对,无,判断题,政治理论,
379,1928 年 6 月，中国共产党第六次全国代表大会在武汉举行。,,,,,,错,无,判断题,政治理论,正确答案应为: 中国共产党第六次全国代表大会在莫斯科举行
380,延安整风运动的方针是“惩前毖后”和“治病救人”。,,,,,,对,无,判断题,政治理论,
381,土地改革的胜利完成，消灭了地主阶级封建剥削的土地所有制，意味着反封建任务的彻底完成。,,,,,,错,无,判断题,政治理论,正确答案应为: 土地改革的胜利完成，并不意味着反封建任务的彻底完成
382,党的八大宣告了社会主义革命的基本完成和社会主义制度的基本确立。,,,,,,对,无,判断题,政治理论,
383,生产资料私有制的社会主义改造完成以后，阶级斗争仍然是中国国内主要矛盾。,,,,,,错,无,判断题,政治理论,正确答案应为: 人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾，是人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾
384,1970 年 4 月，我国成功发射的第一颗人造地球卫星“东方红一号”，标志着中国在宇宙航天技术方面取得历史性突破。,,,,,,对,无,判断题,政治理论,
385,科学发展观的第一要义是发展，核心是以人为本，基本要求是全面协调可持续，根本方法是统筹兼顾。,,,,,,对,无,判断题,政治理论,
386,“一国两制”是历史遗留的香港、澳门问题的最佳解决方案。,,,,,,对,无,判断题,政治理论,
387,1927 年党的第五次全国代表大会在党的历史上第一次选举产生了中央监察委员会。,,,,,,对,无,判断题,政治理论,
388,1935 年1 月召开的遵义会议是我们党的历史上一个生死攸关的转折点。,,,,,,对,无,判断题,政治理论,
389,党的七届二中全会着重讨论了党的工作重心的战略转移的问题。,,,,,,对,无,判断题,政治理论,
390,中华人民共和国成立，标志着中国社会主义初级阶段的开始。,,,,,,错,无,判断题,政治理论,正确答案应为: 中华人民共和国的成立，标志着中国进入了社会主义社会，但并不意味着社会主义初级阶段的开始。社会主义初级阶段是指我国在生产力水平较低、经济基础薄弱的情况下，需要经历的一个较长的发展阶段
391,半殖民地半封建的社会性质决定中国共产党领导的革命包括民主主义革命和社会主义革命两个阶段，这是两个性质相同的革命过程。,,,,,,错,无,判断题,政治理论,正确答案应为: 这是两个性质不同的革命过程
392,党的十三大的突出贡献，是系统阐述了社会主义初级阶段的理论，明确概括了党在社会主义初级阶段的基本路线。,,,,,,对,无,判断题,政治理论,
393,“三个代表”重要思想的核心是保持党的先进性。,,,,,,对,无,判断题,政治理论,
394,中国式现代化是人口规模较小的现代化。,,,,,,错,无,判断题,政治理论,正确答案应为: 规模较大
395,全面建设小康社会是实现中华民族伟大复兴中国梦的关键一步，在“四个全面”战略布局中居于引领地位。,,,,,,错,无,判断题,政治理论,正确答案应为: 全面建成小康社会
396,党的第一次全国代表大会通过了党的纲领，正式确立党的名称为“中国共产党”。,,,,,,对,无,判断题,政治理论,
397,工人阶级是中国革命的主要力量。,,,,,,错,无,判断题,政治理论,正确答案应为: 中国民主革命的主要力量，乃工人、农民、城市小资产阶级群众，还有各民主党派及爱国知识分子
398,1949 年 9 月 21 日，中国人民政治协商会议第一届全体会议在北平隆重开幕。,,,,,,对,无,判断题,政治理论,
399,1950 年 5 月 1 日，中共中央发出《关于在全党全军开展整风运动的指示》，要求严格地整顿全党的作风，首先是整顿干部作风。,,,,,,对,无,判断题,政治理论,
400,1978 年 12 月，中国共产党召开十届三中全会，果断结束“以阶级斗争为纲”，实现党和国家工作中心战略转移，开启了改革开放和社会主义现代化建设新时期。,,,,,,错,无,判断题,政治理论,正确答案应为: 十一届三中全会
401,党的十七大报告指出：“全党同志要坚决维护党的集中统一，自觉遵守党的组织纪律，始终同党中央保持一致，坚决维护中央权威，切实保证政令畅通。”,,,,,,错,无,判断题,政治理论,正确答案应为: 自觉遵守党的组织纪律
402,社会主义初级阶段是当代中国的最大国情、最大实际。,,,,,,对,无,判断题,政治理论,
403,脱贫攻坚是全面建成小康社会的底线任务。,,,,,,对,无,判断题,政治理论,
404,党的十九大作出我国社会主要矛盾已经发生转化的重大政治论断。,,,,,,对,无,判断题,政治理论,
405,新中国成立后制定的第一部法律是《中华人民共和国土地改革法》。,,,,,,错,无,判断题,政治理论,正确答案应为: 新中国成立后制定的第一部法律是《中国人民共和国婚姻法》
