题号,题干,A,B,C,D,E,答案,难度,题型,类别,备注
761,留党察看最长不超过一年。,,,,,,错,无,判断题,政治理论,正确答案应为: 两年
762,年龄和健康状况不适宜于继续担任工作的干部，应当按照国家的规定退、离休。,,,,,,对,无,判断题,政治理论,
763,取消预备党员资格是党纪处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 不是党纪处分，而是党组织根据相关规定，对不符合党员条件的预备党员做出的决定
764,任何党员不论职务高低，都不能个人决定重大问题；如遇紧急情况，必须由个人作出决定时，事后要迅速向党组织报告。,,,,,,对,无,判断题,政治理论,
765,任何组织和个人不得以任何方式强迫选举人选举或不选举某个人。,,,,,,对,无,判断题,政治理论,
766,上级纪律检查委员会有权检查下级纪律检查委员会的工作，并且有权批准和改变下级纪律检查委员会对于案件所作的决定。,,,,,,对,无,判断题,政治理论,
767,我们以钉钉子精神纠治“四风”，反对特权思想和特权现象，刹住了一些长期没有刹住的歪风，纠治了一些多年未除的顽瘴痼疾。,,,,,,对,无,判断题,政治理论,
768,县级和县级以上各级党的委员会和纪律检查委员会有权直接决定给党员以纪律处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 必须是在特殊情况下才能在县级和县级以上
769,严重触犯刑律的地方各级委员会委员、候补委员，由上级委员会常务委员会决定开除其党籍。,,,,,,错,无,判断题,政治理论,正确答案应为: 主体应为同级委员会常务委员会
770,要廉洁奉公树立新风，教育引导广大党员、干部增强纪律意识、规矩意识，持续纠治_“四风”。,,,,,,对,无,判断题,政治理论,
771,要推动形成清清爽爽的同志关系、规规矩矩的上下级关系、亲清统一的新型政商关系。,,,,,,对,无,判断题,政治理论,
772,在党的纪律中，组织纪律是最重要、最根本、最关键的纪律。,,,,,,错,无,判断题,政治理论,正确答案应为: 政治纪律
773,从轻处分，是指在《中国共产党纪律处分条例》规定的违纪行为应当受到的处分幅度以内，减轻一档给予处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 幅度以外
774,对于在党内担任两个以上职务的，党组织在作处分决定时，应当明确是撤销其一切职务还是一个或者几个职务。如果决定撤销其一个职务，必须撤销其担任的最低职务。,,,,,,错,无,判断题,政治理论,正确答案应为: 必须撤销其担任的最高职务
775,在上级检查、视察工作或者向上级汇报、报告工作时对应当报告的事项不报告或者不如实报告，造成严重损害或者严重不良影响的，对直接责任者和领导责任者给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。,,,,,,对,无,判断题,政治理论,
776,党纪处分决定作出后，应当在 15 天内向受处分党员所在党的基层组织中的全体党员及其本人宣布，是领导班子成员的还应当向所在党组织领导班子宣布，并按照干部管理权限和组织关系将处分决定材料归入受处分者档案。,,,,,,错,无,判断题,政治理论,正确答案应为: 一个月
777,“党员干部搞权色交易”问题，违反了生活纪律。,,,,,,错,无,判断题,政治理论,正确答案应为: 廉洁纪律
778,在推进领导干部能上能下工作中，搞好人主义，以组织调整代替党纪政务等处分，对直接责任者和领导责任者，情节严重的，给予开除党籍处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 情节严重给予撤销党内职务或留党察看
779,不按照规定公开党务、政务、厂务、村（居）务等，侵犯群众知情权，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。,,,,,,对,无,判断题,政治理论,
780,工作中不负责任或者疏于管理，贯彻执行、检查督促落实上级决策部署不力，给党、国家和人民利益以及公共财产造成较大损失的，对直接责任者和领导责任者给予撤销党内职务、留党察看或者开除党籍处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 对直接责任者和领导责任者给予警告或严重警告处分
781,贯彻党中央决策部署只表态不落实，或者落实党中央决策部署不坚决，打折扣、搞变通，在政治上造成不良影响或者严重后果的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务、留党察看或者开除党籍处分。,,,,,,对,无,判断题,政治理论,
782,某党员领导干部采取弄虚作假手段把不符合党员条件的人发展为党员，根据新修订的《中国共产党纪律处分条例》，其违反了工作纪律。,,,,,,错,无,判断题,政治理论,正确答案应为: 违反了组织纪律
783,借用管理和服务对象的钱款、住房、车辆等，可能影响公正执行公务，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务、留党察看或者开除党籍处分。,,,,,,对,无,判断题,政治理论,
784,党组织作出党纪处分或者组织处理决定后，监察机关、司法机关、行政机关等依法改变原生效判决、裁定、决定等，对原党纪处分或者组织处理决定产生影响的，党组织应当根据改变后的生效判决、裁定、决定等重新作出相应处理。,,,,,,对,无,判断题,政治理论,
785,因工作不负责任致使所管理的人员出逃、出走，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务处分。,,,,,,对,无,判断题,政治理论,
786,甲区某镇管理处党总支书记兼主任刘某，擅自向管理处下辖的三个村集体收取赞助款 3.7 万元，用于其餐费、运费、礼品等方面的开支。根据新修订《中国共产党纪律处分条例》相关规定，刘某的行为违反了工作纪律。,,,,,,错,无,判断题,政治理论,正确答案应为: 违反了群众纪律
787,对党组织和党员违犯党纪的行为，应当以事实为依据，以党章、其他党内法规和国家法律法规为准绳，执纪执法贯通，准确认定违纪性质，区别不同情况，恰当予以处理。,,,,,,错,无,判断题,政治理论,正确答案应为: 准确认定行为性质
788,违反有关规定配备、购买、更换、装饰、使用公务交通工具，情节较重的，对直接责任者和领导责任者，给予撤销党内职务处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 情节较重的，对直接责任者和领导责任者，给予警告或严重警告处分
789,"党组织在纪律审查中发现党员违反国家财经纪律，在公共资金收支、税务管理、国有资产管理、政府采购管理、金融管理、财务会计管理等财经活动中有违法行为的,应当给予开除党籍处分。",,,,,,错,无,判断题,政治理论,正确答案应为: 视具体情节给予警告直至开除党籍处分
790,搞“劳民伤财”的“形象工程”、“政绩工程”，是违反工作纪律的行为。,,,,,,错,无,判断题,政治理论,正确答案应为: 政治纪律
791,党员因过失犯罪被判处三年以下有期徒刑或者 被判处管制、拘役的，对于个别可以不开除党籍的，应当对照处分违纪党员批准权限的规定，报请再上一级党组织批准。,,,,,,对,无,判断题,政治理论,
792,在干部、职工的录用、考核、职务职级晋升、职称评聘、荣誉表彰，授予学术称号和征兵、安置退役军人等工作中，隐瞒、歪曲事实真相，情节严重的，给予留党察看处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 情节严重的，给予开除党籍处分
793,离职或者退（离）休后利用原职权或者职务上的影响为他人谋取利益，本人的配偶、子女及其配偶等亲属和其他特定关系人收受对方财物，情节较轻的，给予警告或者严重警告处分。,,,,,,错,无,判断题,政治理论,正确答案应为: 情节较轻的，给予撤销党内职务以上处分
794,"某县为基层干部设置过多过细的考核指标，加重基层负担，按照新修订《中国共产党纪律处分条例》相关规定,违反了群众纪律。",,,,,,错,无,判断题,政治理论,正确答案应为: 工作纪律
795,某国企党员干部尹某在任职期间，纵容妻子与下属矿业公司签订虚假劳动合同，伪造整套人事档案并办理提前退休手续。按照新修订《中国共产党纪律处分条例》相关规定，尹某的行为违反了廉洁纪律。,,,,,,对,无,判断题,政治理论,
796,2025 年 1 月 6 日，习近平在二十届中央纪委四次全会上强调，党的二十届三中全会对深化纪检监察体制改革作了部署，要抓好改革任务落实，坚持确权和控权相结合，把权力关进制度的笼子。,,,,,,错,无,判断题,政治理论,正确答案应为: 授权和控权相结合
797,2016 年 11 月 9 日，习近平在中央军委后勤工作会议上强调，作风建设要标本兼治、综合施策，落细落小、落实落地。,,,,,,错,无,判断题,政治理论,正确答案应为: 落细落小、到边到底
798,2018 年 7 月 3 日，习近平在全国组织工作会议上指出，建立管思想、管工作、管作风、管纪律的从严管理体系。要加强党内监督，贯彻民主集中制，严格组织生活，用好“团结—批评—团结”的锐利武器，完善体制机制，管好关键人、管到关键处、管住关键事、管在关键时，特别是要把一把手管住管好。,,,,,,错,无,判断题,政治理论,正确答案应为: 批评与自我批评
799,主动挽回损失、消除不良影响或者有效阻止危害结果发生，可以从轻或者减轻处分。,,,,,,对,无,判断题,政治理论,
800,一人有《中国共产党纪律处分条例》规定的两种以上应当受到党纪处分的违纪行为，应当合并处理，按其数种违纪行为中应当受到的最高处分加重一档给予处分。,,,,,,对,无,判断题,政治理论,
801,党员如果没有正当理由，连续（    ）不参加党的组织生活，或不交纳党费，或不做党所分配的工作，就被认为是自行脱党。,1 个月,3 个月,6 个月,12 个月,,C,无,单选题,政治理论,
802,调查研究必须坚持问题导向，增强问题意识，以（	）为根本目的，真正把情况摸清、把问题找准、把对策提实。,发现问题,梳理问题,解决问题,正视问题,,C,无,单选题,政治理论,
803,入党介绍人要认真了解发展对象的入党动机、政治觉悟、（    ）、工作经历、现实表现等情况，如实向党组织汇报。,道德品质,家庭状况,社会公德,群众基础,,A,无,单选题,政治理论,
804,党的基层委员会、总支部委员会、支部委员会每届任期（	）。,三年,五年,两年到三年,三年至五年,,D,无,单选题,政治理论,
805,党的组织原则是（    ）。,首长负责制,民主集中制,领导负责制,民主制,,B,无,单选题,政治理论,
806,党员要求退党，应当经（	   ）讨论后宣布除名，并报上级党组织备案。,党委常委,基层党委,党小组,支部大会,,D,无,单选题,政治理论,
807,全面推进党的“五个建设”，其中（    ）处于统领地位，（    ）是管党治党的治本之策。,思想建设、组织建设,政治建设、纪律建设,制度建设、作风建设,理论建设、制度建设,,B,无,单选题,政治理论,
808,党的最高领导机关是（  ）。,党的全国代表大会和它所产生的中央委员会,党的全国代表大会和党的地方各级代表大会,党的中央政治局及其常务委员会,党的全国代表会议,,A,无,单选题,政治理论,
809,党支部每年至少（ ）次组织生活会，一般安排在第四季度，也可以根据工作需要随时召开。,1,2,3,4,,A,无,单选题,政治理论,
810,下列属于党组织应当向上级党组织请示的事项是（	）。,属于自身职权范围内的日常工作,上级党组织就有关问题已经作出明确批复的,事后报告即可的事项,重大决策时存在较大意见分歧的情况,,D,无,单选题,政治理论,
811,党支部书记（ ）应当向上级党组织和党支部党员大会述职，接受评议考核，考核结果作为评先评优、选拔使用的重要依据。,每季度,每任期,每年,每半年,,C,无,单选题,政治理论,
812,年满（ ）的中国工人、农民、军人、知识分子和其他社会阶层的先进分子，承认党的纲领和章程，愿意参加党的一个组织并在其中积极工作、执行党的决议和按期交纳党费的，可以申请加入中国共产党。,十六岁,十八岁,二十岁,二十五岁,,B,无,单选题,政治理论,
813,党自身必须在宪法和法律范围内活动，真正做到党领导立法、保证执法、（ ）。,带头守法,执法必严,违法必究,依法治国,,A,无,单选题,政治理论,
814,（ ）是党的中心工作，意识形态工作是党的一项极端重要的工作。,思想建设,政治建设,经济建设,组织建设,,C,无,单选题,政治理论,
815,“两学一做”是指（	）。,学党章、学党规、做合格党员,学党章、学党规、做优秀党员,学党章党规、学系列讲话、做优秀党员,学党章党规、学系列讲话、做合格党员,,D,无,单选题,政治理论,
816,党的基层组织是党在社会基层组织中的战斗堡垒，是党的（ ）和战斗力的基础。,中心工作,全部工作,主要任务,重点工作,,B,无,单选题,政治理论,
817,"党的基层组织应当把吸收具有马克思主义信仰、共产主义觉悟和中国特色社会主义信念，自觉践行（  ）的先进分子入党,作为一经常性重要工作。",习近平新世代中国特色社会主义思想,科学发展观,群众路线,社会主义核心价值观,,D,无,单选题,政治理论,
818,党的建设必须坚决实现五项基本要求：坚持党的基本路线；坚持解放思想，实事求是，与时俱进，求真务实；坚持（	）；坚持民主集中制；坚持从严管党治党。,廉政建设,群众路线,全心全意为人民服务,党的领导,,C,无,单选题,政治理论,
819,党的领导和依法治国不是对立的，而是统一的。我国法律充分体现了（ ），我们党依法办事，这个关系是相互统一的关系。,党的意志,人民意志,党和人民意志,各民族人民意志,,C,无,单选题,政治理论,
820,党的十八大以来，在文化建设上，我国意识形态领域形势发生全局性、根本性转变，全党全国各族人民（ ）明显增强，全社会凝聚力和向心力极大提升。,文明素质,精神素养,物质需求,文化自信,,D,无,单选题,政治理论,
821,党务公开应当遵循以下原则：（    ）；坚持发扬民主；坚持积极稳妥；坚持依规依法。,坚持正确目标,坚持正确方向,坚持正确方式,坚持正确态度,,B,无,单选题,政治理论,
822,党员必须密切联系群众，向群众宣传党的主张，遇事同群众商量，及时向党反映群众的意见和要求，维护（     ）。,群众的正当利益,群众的全部利益,群众的重大利益,群众的关键利益,,A,无,单选题,政治理论,
823,党员有权向党负责地揭发、检举党的（	）组织和任何党员违纪违法的事实。,上一级,下一级,同级,任何,,D,无,单选题,政治理论,
824,党支部工作必须坚持把党的（	）摆在首位，牢固树立“四个意识”，坚定“四个自信”，做到“四个服从”，旗帜鲜明讲政治。,政治意识,政治建设,思想建设,作风建设,,B,无,单选题,政治理论,
825,党组的成员，由（   	）的党组织决定。,批准成立党组,本单位推荐,当地党委,上级党委,,A,无,单选题,政治理论,
826,党组织应当通过宣传党的政治主张和深入细致的思想政治工作，提高党外群众对党的认识，不断扩大（	）队伍。,发展对象,预备党员,入党积极分子,入党申请人,,C,无,单选题,政治理论,
827,管党治党，各级党组织书记负（    ）。,主体责任,第一责任,直接责任,主要责任,,B,无,单选题,政治理论,
828,加强党对意识形态工作的领导，党的理论创新全面推进，（	）在意识形态领域的指导地位更加鲜明，中国特色社会主义和中国梦深入人心。,马克思主义,辩证唯物主义,历史唯物主义,唯心主义,,A,无,单选题,政治理论,
829,坚持（	）原则，参与讨论决定人才工作政策措施，会同有关方面做好各类人才培养、引进、使用、管理、服务和奖惩工作，对教职工聘用考评、职称评审等提出意见。,党管干部,党管人才,党管人事,党管教育,,B,无,单选题,政治理论,
830,坚持和加强党的全面领导，最重要的是坚决维护（	）和集中统一领导。,政府权威,全国人民代表大会权威,党中央权威,政治制度权威,,C,无,单选题,政治理论,
831,践行全心全意为人民服务的根本宗旨，把党的（	   ）贯彻到治国理政全部活动之中，把人民对美好生活的向往作为奋斗目标，依靠人民创造历史伟业。,政治路线,思想路线,组织路线,群众路线,,D,无,单选题,政治理论,
832,开展（    ），围绕贯彻执行党和国家重大决策、推进落实重大任务，宣讲党的路线方针政策，解读世情国情党情，回应党员关注的问题，引导党员正确认识形势，把思想和行动统一到党中央要求上来。,革命传统教育,形势政策教育,党的宗旨教育,知识技能教育,,B,无,单选题,政治理论,
833,下列单位一般不设立党组的是（   	）。,中管企业,江西省检察院,共青团组织,江西省政府,,C,无,单选题,政治理论,
834,下列属于党员义务的是（	   ）。,对党的工作提出建议和倡议,向群众宣传党的主张,参加党的有关会议,阅读党的有关文件,,B,无,单选题,政治理论,
835,党的基层组织应当把吸收具有（ ），自觉践行社会主义核心价值观的先进分子入党，作为一项经常性重要工作。,马克思主义信仰,共产主义觉悟,中国特色社会主义信念,社会主义初级阶段基本路线,,ABC,无,多选题,政治理论,
836,党的民主集中制的基本原则之一是“四个服从”：党员个人服从党的组织，（      	）。,少数服从多数,党员群众服从党组织干部,下级组织服从上级组织,全党各个组织和全体党员服从党的全国代表大会和中央委员会,,ACD,无,多选题,政治理论,
837,发展党员工作的基本原则是（	）。,坚持党性、反对派性原则,坚持重在政治表现的原则,坚持入党自愿的原则,坚持个别吸收的原则,,CD,无,多选题,政治理论,
838,党的上下级组织之间要（ ）。党的各级组织要按规定实行党务公开，使党员对党内事务有更多的了解和参与。,互通情报,互相支持,互相监督,互相关心,,ABC,无,多选题,政治理论,
839,党支部委员会设（	   ）等，必要时可以设 1 名副书记。,书记,组织委员,宣传委员,纪检委员,,ABCD,无,多选题,政治理论,
840,党支部应当经常开展谈心谈话。（	），每年谈心谈话一般不少于 1 次。谈心谈话应当坦诚相见、交流思想、交换意见、帮助提高。,党支部委员之间,党支部委员和党员之间,党员和党员之间,支部书记和其他支部委员之间,,ABC,无,多选题,政治理论,
841,《党史学习教育工作条例》指出，用好革命博物馆、纪念馆、党史馆、烈士纪念设施、革命旧址等红色资源，保护利用好革命文物，精心设计展览陈列、红色旅游线路、学习体验线路，加强（ ）。,革命传统教育,爱国主义教育,思想品德教育,思想道德教育,,ABD,无,多选题,政治理论,
842,党支部委员会成员应当自觉接受（	）监督，加强互相监督。,上级党组织,党员,群众,民主党派成员,,ABC,无,多选题,政治理论,
843,坚持和加强党的全面领导，最重要的是坚决维护（	）和（	   ）。,党中央权威,集中统一领导,党的政治地位,党的执政地位,,AB,无,多选题,政治理论,
844,涉及（ ）的重大事项，应当由有关党组织向共同上级党组织联合请示报告。,跨区域,跨领域,跨行业,跨系统,,ABCD,无,多选题,政治理论,
845,党支部书记应当具备哪些条件（ ）。,良好政治素质，热爱党的工作,具有一定的政策理论水平、组织协调能力和群众工作本领,敢于担当、乐于奉献，带头发挥先锋模范作用，在党员、群众中有较高威信,一般应当具有 1 年以上党龄,,ABCD,无,多选题,政治理论,
846,党支部应当运用“三会一课”制度，对党员进行经常性的教育管理。党员应当按期参加（    ），进行学习交流，汇报思想、工作等情况。,党员大会,党小组会,上党课,支部委员会,,ABC,无,多选题,政治理论,
847,党史学习教育工作的主要任务是：（    ）。,学史明理,学史增信,学史崇德,学史力行,,ABCD,无,多选题,政治理论,
848,党的地方各级代表大会的职权是（	）。,听取和审查同级委员会的报告,审查同级纪律检查委员会的报告,讨论本地区范围内的重大问题并作出决议,选举同级党的委员会，选举同级党的纪律检查委员会,,ABCD,无,多选题,政治理论,
849,党的中央、地方和基层组织，都必须重视党的建设，经常讨论和检查党的（ ）、群众工作、统一战线工作等，注意研究党内外的政治思想状况。,宣传工作,教育工作,组织工作,纪律检查工作,,ABCD,无,多选题,政治理论,
850,党员发展对象一般应当有（ ）正式党员作为入党介绍人，入党介绍人一般由（ ）担任，也可由党组织指定。,一名,支部书记,两名,培养联系人,,CD,无,多选题,政治理论,
850,党员发展对象一般应当有（	）正式党员作为入党介绍人，入党介绍人一般由（	）担任，也可由党组织指定。,一名,支部书记,两名,培养联系人,,CD,无,多选题,政治理论,
851,党支部是党的基础组织，担负直接教育党员、管理党员、（	）和组织群众、宣传群众、凝聚群众、（	）的职责。,监督党员,领导党员,服务群众,领导群众,,AC,无,多选题,政治理论,
852,改进党的领导方式要强化（	）、底线思维。,战略思维,创新思维,辩证思维,法治思维,,ABCD,无,多选题,政治理论,
853,改进党的领导方式要正确制定和坚决执行党的路线方针政策，不断增强党的（	）。,政治领导力,思想引领力,群众组织力,社会号召力,,ABCD,无,多选题,政治理论,
854,基层党组织负责人要经常、主动和干部职工谈心谈话。善于利用重要节点开展谈心谈话，做到（	）。,岗位变动必谈,组织处理必谈,发生家庭变故必谈,发现苗头性问题必谈,,ABCD,无,多选题,政治理论,
855,加强党的政治建设，必须坚持和加强（	），完善（	），改进（	），承担起执政兴国的政治责任。,党的全面领导,党的领导体制,党的领导方式,党的领导方针,,ABC,无,多选题,政治理论,
856,加强党的政治建设，必须进一步增强党组织（	），彰显国家机关（	），发挥群团组织（	），强化国有企事业单位（），不断提高党员干部特别是领导干部政治本领。,政治功能,政治属性,政治作用,政治导向,,ABCD,无,多选题,政治理论,
857,加强思想政治建设的“三讲”教育是指（	）。,讲学习,讲发展,讲正气,讲政治,,ACD,无,多选题,政治理论,
858,坚持党的政治路线，必须全面贯彻实施新时代中国特色社会主义基本方略，统筹推进“（	）”总体布局和协调推进“（	）”战略布局，为实现“（	）”奋斗目标不懈努力。,五位一体,四个全面,两个一百年,三位一体,,ABC,无,多选题,政治理论,
859,坚持党对一切工作的领导，保证（	），顺利推进新时代中国特色社会主义各项事业，必须建立健全坚持和加强党的全面领导的制度体系，确保党的领导全覆盖，确保党的领导更加坚强有力。,国家统一,法制统一,政令统一,市场统一,,ABCD,无,多选题,政治理论,
860,坚决站稳政治立场要坚持以（	）为旗帜、以（	）为方向、以（	）为意志。,党的旗帜,党的方向,党性立场,党的意志,,ABD,无,多选题,政治理论,
861,坚决站稳政治立场要始终做到（	）。,在党从党,在党言党,在党忧党,在党为党,,BCD,无,多选题,政治理论,
862,领导干部不论在哪个岗位、担任什么职务，都要勇于担当、攻坚克难，既当指挥员、又当战斗员，培养和保持（	）。,顽强的斗争精神,坚韧的斗争意志,精明的斗争艺术,高超的斗争本领,,ABD,无,多选题,政治理论,
863,强化党支部（	），充分发挥党支部（	）作用，巩固党长期执政的（	）。,政治功能,战斗堡垒,组织基础,组织功能,,ABC,无,多选题,政治理论,
864,宣传思想工作创新，重点要抓好（	），努力以思想认识新飞跃打开工作新局面，积极探索有利于破解工作难题的新举措新办法，把创新的重心放在基层一线。,理念创新,手段创新,科技创新,基层工作创新,,ABD,无,多选题,政治理论,
865,宣传思想工作一定要把围绕中心、服务大局作为基本职责，胸怀大局、把握大势、着眼大事，找准工作切入点和着力点，做到（	）、（	  ）、（	）。,因势而谋,应势而动,因势而新,顺势而为,,ABD,无,多选题,政治理论,
866,要教育引导党员干部从历史和现实、理论和实践、国内和国际的结合上深刻认识、强化认同，不断增强拥护核心、跟随核心、捍卫核心的（	），始终同以习近平同志为核心的党中央保持高度一致。,思想自觉,政治自觉,行动自觉,学习自觉,,ABC,无,多选题,政治理论,
867,要落实新时代党的建设总要求，健全全面从严治党体系，全面推进党的（	），使我们党坚守初心使命，始终成为中国特色社会主义事业的坚强领导核心。,自我净化,自我完善,自我革新,自我提高,,ABCD,无,多选题,政治理论,
868,“三会一课”制度的内容是支部党员大会，支部委员会，组织生活会，党课。,,,,,,错,无,判断题,政治理论,正确答案应为: 支部党员大会，支部委员会，党小组会，党课
869,党的各级代表大会的代表和委员会的产生，要体现广大群众的意志。选举采用无记名投票的方式。,,,,,,错,无,判断题,政治理论,正确答案应为: 无记名投票并不是唯一途径，还有体现群众意志的方式
870,预备党员有选举权，但没有表决权和被选举权。,,,,,,错,无,判断题,政治理论,正确答案应为: 三个权力都没有
871,在特殊情况下，党的中央和省、自治区、直辖市、地级市委员会可以直接接收党员。,,,,,,错,无,判断题,政治理论,正确答案应为: 无地级市委员会
872,党支部委员会会议须有半数以上委员到会方可进行。,,,,,,对,无,判断题,政治理论,
873,党小组会一般每月召开1次，组织党员参加政治学习、谈心谈话、开展批评和自我批评等。,,,,,,对,无,判断题,政治理论,
874,中央委员会可以修改党的章程。,,,,,,错,无,判断题,政治理论,正确答案应为: 党的章程修改权属于党的全国代表大会及其所产生的中央委员会
875,预备党员必须面向党章进行入党宣誓。,,,,,,错,无,判断题,政治理论,正确答案应为: 向党旗进行入党宣誓
876,党的思想建设是党的根本性建设，决定党的建设方向和效果。,,,,,,错,无,判断题,政治理论,正确答案应为: 政治建设
877,民主集中制是民主基础上的集中和集中指导下的民主相结合。,,,,,,对,无,判断题,政治理论,
878,《党史学习教育工作条例》规定，各级党委（党组）原则上每3年组织开展1次党史学习教育工作情况综合评估，充分运用评估结果，不断改进党史学习教育工作。,,,,,,错,无,判断题,政治理论,正确答案应为: 五年组织开展一次
879,《党史学习教育工作条例》规定，开展党史学习教育，应当坚持勤俭节约，充分利用当地条件就地组织开展相关活动，必要时可以适当安排红色景点旅游。,,,,,,错,无,判断题,政治理论,正确答案应为: 充分利用当地条件就地组织开展相关活动，严禁以学习教育为名变相公款旅游
880,端正入党动机是争取做一名合格党员的起点，是争取入党的首要问题。,,,,,,对,无,判断题,政治理论,
881,党的政治建设是党的根本性建设，决定党的建设方向和效果，事关统揽推进伟大斗争、伟大工程、伟大事业、伟大梦想。,,,,,,对,无,判断题,政治理论,
882,党的政治建设是党的根本性建设，决定党的建设方向和效果。,,,,,,对,无,判断题,政治理论,
883,党的组织建设是党的根本性建设，决定党的建设方向和效果。,,,,,,错,无,判断题,政治理论,正确答案应为: 政治建设
884,党性是党员、干部立身、立业、立言、立德的基石。,,,,,,对,无,判断题,政治理论,
885,每个党员，不论职务高低，都必须编入党的一个支部、小组或其他特定组织，参加党的组织生活，接受党内外群众的监督。,,,,,,对,无,判断题,政治理论,
886,全党必须增强党组织的政治功能和组织功能，培养选拔党和人民需要的好干部，培养和造就大批堪当时代重任的社会主义事业接班人，聚天下英才而用之，从组织上保证党的基本理论、基本路线、基本方略的贯彻落实。,,,,,,对,无,判断题,政治理论,
887,全党要牢记我们为什么出发这个根本问题，把握历史发展大势，坚定理想信念，牢记初心使命，始终谦虚谨慎、不骄不躁、艰苦奋斗。,,,,,,错,无,判断题,政治理论,正确答案应为: 牢记中国共产党是什么、要干什么这个根本问题
